LIMIT_BAL;SEX;EDUCATION;MARRIAGE;AGE;PAY_0;PAY_2;PAY_3;PAY_4;PAY_5;PAY_6;BILL_AMT1;BILL_AMT2;BILL_AMT3;BILL_AMT4;BILL_AMT5;BILL_AMT6;PAY_AMT1;PAY_AMT2;PAY_AMT3;PAY_AMT4;PAY_AMT5;PAY_AMT6;default payment next month
B;F;U;C;ADU;AC;AC;DT;DT;DT;DT;M;M;B;B;B;B;B;B;B;B;B;B;S
M;F;U;S;ADU;DT;AC;DT;DT;DT;AC;M;B;M;M;M;M;B;B;B;B;B;B;S
M;F;U;S;ADU;DT;DT;DT;DT;DT;DT;A;A;A;A;A;A;B;B;B;B;B;M;N
M;F;U;C;ADU;DT;DT;DT;DT;DT;DT;A;A;A;A;A;A;B;M;B;B;B;B;N
M;M;U;C;IDO;DT;DT;DT;DT;DT;DT;A;A;A;A;A;A;B;A;A;A;B;B;N
M;M;G;S;ADU;DT;DT;DT;DT;DT;DT;A;A;A;A;A;A;M;B;B;B;B;B;N
A;M;G;S;ADU;DT;DT;DT;DT;DT;DT;A;A;A;A;A;A;A;A;A;A;A;A;N
M;F;U;S;ADU;DT;DT;DT;DT;DT;DT;A;B;B;B;B;B;B;B;B;B;B;B;N
M;F;M;C;ADU;DT;DT;AC;DT;DT;DT;A;A;A;A;A;M;M;B;B;B;B;B;N
B;M;M;S;ADU;DT;DT;DT;DT;DT;DT;B;B;B;B;A;A;B;B;B;A;B;B;N
M;F;M;S;ADU;DT;DT;AC;DT;DT;DT;A;A;A;M;B;M;M;B;B;B;M;B;N
A;F;G;S;ADU;DT;DT;DT;DT;DT;AC;A;A;A;A;A;A;A;A;A;A;B;M;N
A;F;U;S;ADU;DT;DT;DT;DT;DT;DT;A;A;A;A;A;M;B;A;A;A;M;B;N
M;M;U;S;ADU;AC;AC;AC;DT;DT;AC;A;A;A;A;A;A;M;B;M;M;B;B;S
A;M;G;S;ADU;DT;DT;DT;DT;DT;DT;A;A;A;A;A;A;M;M;M;M;M;M;N
M;F;M;O;ADU;AC;AC;DT;DT;DT;DT;A;A;A;A;A;A;B;B;B;B;B;B;N
B;M;G;S;ADU;DT;DT;AC;AC;AC;AC;A;A;A;A;A;A;M;B;B;B;B;B;S
A;M;G;C;ADU;DT;DT;DT;DT;DT;DT;A;A;A;A;A;A;A;A;A;A;A;A;N
A;F;G;C;ADU;AC;DT;DT;DT;DT;DT;B;B;B;B;B;B;B;B;B;B;B;B;N
M;F;G;S;ADU;AC;DT;DT;DT;DT;DT;B;B;B;B;B;B;B;B;B;B;B;B;N
M;F;M;S;ADU;DT;DT;DT;DT;DT;DT;A;A;A;A;A;B;M;B;B;B;B;A;N
M;F;U;C;ADU;DT;DT;DT;DT;DT;DT;B;B;B;B;B;B;B;B;B;B;B;B;S
M;F;U;S;ADU;AC;DT;DT;AC;AC;AC;A;A;A;A;A;A;M;M;B;M;B;B;S
A;F;G;C;ADU;DT;DT;DT;DT;DT;DT;A;A;B;B;B;B;A;B;B;B;B;B;S
M;M;G;S;ADU;DT;DT;DT;DT;DT;DT;M;A;B;A;A;A;A;B;A;B;M;B;N
M;M;M;S;ADU;DT;DT;DT;DT;DT;DT;A;A;A;A;A;A;B;B;B;B;B;B;N
M;M;G;S;ADU;AC;DT;DT;DT;DT;DT;B;B;B;B;B;B;B;B;B;B;B;B;S
M;F;M;S;ADU;DT;DT;DT;DT;DT;DT;A;A;A;A;A;A;B;B;B;B;B;B;N
M;F;M;C;ADU;DT;DT;DT;DT;DT;DT;B;M;M;M;A;B;M;M;M;A;B;B;N
M;M;G;S;ADU;DT;DT;DT;DT;DT;DT;A;A;A;A;A;A;B;B;B;B;B;B;N
A;F;G;S;ADU;DT;DT;DT;DT;DT;DT;A;A;A;A;A;A;A;A;A;A;A;B;N
M;M;U;S;ADU;AC;DT;DT;DT;DT;DT;A;A;A;A;A;A;B;B;B;B;B;B;S
M;M;G;S;ADU;DT;DT;DT;DT;DT;DT;A;A;A;A;A;A;M;M;M;M;M;M;N
A;F;U;C;ADU;DT;DT;DT;DT;DT;DT;A;M;A;A;A;A;M;A;A;A;B;A;N
A;M;G;C;IDO;DT;DT;DT;DT;DT;DT;A;A;A;M;B;A;A;A;M;B;A;B;N
M;M;G;S;ADU;DT;DT;DT;DT;DT;DT;A;B;B;B;B;B;B;B;B;B;B;B;N
A;M;U;C;ADU;DT;DT;DT;DT;DT;DT;A;A;A;A;A;A;A;A;A;A;A;A;N
M;F;U;S;ADU;DT;DT;DT;DT;DT;DT;A;A;A;A;B;A;B;B;M;B;A;B;N
A;M;G;S;ADU;DT;DT;AC;DT;DT;DT;B;A;M;A;A;A;A;B;A;A;A;B;N
A;M;G;S;ADU;DT;DT;DT;DT;DT;DT;A;A;A;A;A;A;A;A;A;A;A;M;N
M;F;G;S;ADU;DT;DT;DT;DT;DT;DT;A;A;A;A;A;A;M;M;M;M;M;M;N
B;M;U;S;ADU;DT;DT;DT;DT;DT;DT;B;M;A;M;M;M;B;M;B;B;B;B;N
M;F;U;C;ADU;DT;DT;DT;DT;DT;DT;A;A;A;A;A;A;M;M;M;M;M;M;N
B;F;G;S;ADU;DT;DT;DT;AC;DT;DT;A;A;A;A;A;A;M;M;B;B;M;B;N
A;M;G;S;ADU;DT;DT;DT;DT;DT;DT;B;B;B;B;B;B;B;B;B;B;B;B;S
B;F;G;S;ADU;DT;DT;AC;DT;DT;DT;A;A;A;A;A;B;M;B;A;B;B;B;S
M;F;O;S;ADU;DT;DT;DT;DT;DT;DT;M;M;B;B;B;B;B;B;B;B;B;B;S
A;M;U;S;ADU;DT;DT;DT;DT;DT;DT;A;A;A;A;A;A;A;A;A;A;A;A;N
B;M;G;S;ADU;DT;DT;DT;DT;DT;DT;A;A;A;A;A;A;B;B;B;B;B;B;N
M;M;M;S;ADU;AC;AC;AC;AC;AC;DT;A;A;A;A;A;A;B;M;B;B;B;B;S
M;F;M;O;ADU;DT;DT;DT;DT;DT;DT;A;A;A;A;A;A;B;B;B;B;B;B;N
A;F;U;C;ADU;DT;DT;DT;DT;DT;DT;A;A;A;A;M;B;A;A;A;M;B;B;N
M;F;G;S;ADU;AC;AC;DT;DT;DT;DT;A;A;A;A;A;A;B;M;B;B;B;B;N
M;F;G;S;ADU;AC;DT;DT;DT;DT;DT;A;A;A;A;A;A;B;B;B;B;B;M;N
A;F;G;C;ADU;DT;DT;DT;DT;DT;DT;B;M;B;B;B;M;M;B;B;B;M;B;N
M;F;M;C;ADU;DT;DT;DT;DT;DT;DT;A;A;A;A;B;A;A;B;A;B;A;B;N
M;F;U;C;ADU;DT;DT;DT;DT;DT;DT;A;A;A;A;A;A;A;A;A;M;M;M;N
