age;job;marital;education;default;balance;housing;loan;duration;campaign;pdays;previous;y
IDO;management;married;tertiary;no;M;yes;no;L;P;NC;P;no
ADU;technician;single;secondary;no;B;yes;no;L;P;NC;P;no
ADU;entrepreneur;married;secondary;no;B;yes;yes;M;P;NC;P;no
ADU;management;married;tertiary;no;B;yes;no;M;P;NC;P;no
ADU;management;single;tertiary;no;B;yes;yes;L;P;NC;P;no
ADU;entrepreneur;divorced;tertiary;yes;B;yes;no;L;P;NC;P;no
IDO;retired;married;primary;no;B;yes;no;C;P;NC;P;no
ADU;technician;single;secondary;no;B;yes;no;C;P;NC;P;no
ADU;admin.;divorced;secondary;no;B;yes;no;L;P;NC;P;no
ADU;admin.;single;secondary;no;B;yes;no;M;P;NC;P;no
ADU;technician;married;secondary;no;B;yes;no;L;P;NC;P;no
IDO;services;married;secondary;no;B;yes;no;L;P;NC;P;no
ADU;retired;married;primary;no;B;yes;no;L;P;NC;P;no
IDO;blue-collar;married;primary;no;B;yes;no;C;P;NC;P;no
IDO;retired;married;primary;no;B;yes;no;L;P;NC;P;no
ADU;services;married;secondary;no;B;yes;no;C;P;NC;P;no
ADU;blue-collar;married;secondary;no;B;yes;yes;L;P;NC;P;no
IDO;management;married;tertiary;no;B;yes;no;L;P;NC;P;no
ADU;blue-collar;single;primary;no;B;yes;yes;L;P;NC;P;no
ADU;services;married;secondary;no;B;yes;no;L;P;NC;P;no
ADU;retired;married;primary;no;B;yes;yes;L;P;NC;P;no
ADU;admin.;married;secondary;no;B;yes;no;L;P;NC;P;no
ADU;management;single;tertiary;no;B;yes;no;L;P;NC;P;no
ADU;management;single;secondary;no;B;yes;no;L;P;NC;P;no
ADU;technician;single;secondary;no;B;yes;yes;L;P;NC;P;no
IDO;technician;married;secondary;no;B;no;yes;L;P;NC;P;no
ADU;management;married;tertiary;no;B;yes;no;L;P;NC;P;no
IDO;admin.;married;secondary;no;B;yes;yes;L;P;NC;P;no
IDO;blue-collar;married;secondary;no;B;yes;no;L;P;NC;P;no
ADU;management;married;tertiary;no;A;yes;no;L;P;NC;P;no
IDO;technician;divorced;secondary;no;B;yes;no;L;P;NC;P;no
ADU;blue-collar;married;secondary;no;B;yes;no;L;P;NC;P;no
ADU;technician;married;secondary;no;B;no;no;L;P;NC;P;no
ADU;services;divorced;secondary;no;M;yes;no;L;P;NC;P;no
ADU;management;married;secondary;no;B;yes;no;L;P;NC;P;no
ADU;retired;married;secondary;no;B;yes;no;L;P;NC;P;no
ADU;admin.;single;primary;no;B;yes;no;L;P;NC;P;no
IDO;self-employed;married;tertiary;no;B;yes;no;L;P;NC;P;no
ADU;technician;divorced;secondary;no;B;no;no;L;P;NC;P;no
ADU;blue-collar;married;secondary;no;M;yes;no;L;P;NC;P;no
ADU;management;divorced;tertiary;no;B;yes;no;L;P;NC;P;no
ADU;admin.;single;secondary;no;B;yes;no;L;P;NC;P;no
ADU;technician;single;secondary;no;B;yes;yes;M;P;NC;P;no
ADU;entrepreneur;single;tertiary;no;B;no;yes;L;P;NC;P;no
ADU;management;single;tertiary;no;B;yes;no;M;P;NC;P;no
ADU;services;married;primary;no;B;yes;no;L;P;NC;P;no
ADU;admin.;married;tertiary;no;B;yes;no;M;P;NC;P;no
ADU;technician;divorced;secondary;no;B;yes;no;L;P;NC;P;no
IDO;blue-collar;married;primary;no;B;yes;no;L;P;NC;P;no
ADU;management;married;tertiary;no;A;yes;no;M;P;NC;P;no
